"name","pos","sourceName","name_fox","team_fox","positionRank","overallRank","passAtt","passComp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recYds","recTds","returnTds","twoPts","fumbles","points"
"ANDREWLUCK","QB","fox","Andrew Luck","IND",1,1,588,387,4890,35,15,71,284,2,NA,NA,NA,NA,0,1,416.7
"PEYTONMANNING","QB","fox","Peyton Manning","DEN",2,2,601,393,4852,34,13,33,-2,0,NA,NA,NA,NA,1,0,370.2
"MATTRYAN","QB","fox","Matt Ryan","ATL",3,3,632,407,4860,34,18,42,77,0,NA,NA,NA,NA,1,0,369.7
"AARONRODGERS","QB","fox","Aaron Rodgers","GB",4,4,528,361,4214,30,11,50,195,2,NA,NA,NA,NA,0,0,356.5
"BENROETHLISBERGER","QB","fox","Ben Roethlisberger","PIT",5,5,608,382,4743,30,14,31,62,0,NA,NA,NA,NA,1,0,347.2
"RUSSELLWILSON","QB","fox","Russell Wilson","SEA",6,6,421,273,3499,22,11,112,656,5,NA,NA,NA,NA,0,1,342.7
"RYANTANNEHILL","QB","fox","Ryan Tannehill","MIA",7,7,572,364,4248,26,13,53,277,2,NA,NA,NA,NA,1,1,342.1
"JAYCUTLER","QB","fox","Jay Cutler","CHI",8,8,601,376,4533,28,18,37,130,1,NA,NA,NA,NA,1,1,331
"SAMBRADFORD","QB","fox","Sam Bradford","PHI",9,9,572,359,4303,29,14,46,50,0,NA,NA,NA,NA,0,1,324.5
"DREWBREES","QB","fox","Drew Brees","NO",10,10,603,395,4581,29,19,35,7,0,NA,NA,NA,NA,1,0,323.3
"CAMNEWTON","QB","fox","Cam Newton","CAR",11,11,478,295,3499,21,14,110,615,4,NA,NA,NA,NA,1,1,321.4
"ELIMANNING","QB","fox","Eli Manning","NYG",12,12,617,372,4589,29,17,25,-1,0,NA,NA,NA,NA,1,1,320.9
"PHILIPRIVERS","QB","fox","Philip Rivers","SD",13,13,610,391,4586,28,17,30,7,0,NA,NA,NA,NA,1,0,320.7
"COLINKAEPERNICK","QB","fox","Colin Kaepernick","SF",14,14,432,270,3308,20,12,105,630,5,NA,NA,NA,NA,0,1,319.6
"ROBERTGRIFFIN","QB","fox","Robert Griffin III","WAS",15,15,575,324,4132,24,17,60,324,2,NA,NA,NA,NA,1,1,317
"CARSONPALMER","QB","fox","Carson Palmer","ARI",16,16,618,380,4600,28,18,23,1,0,NA,NA,NA,NA,1,0,314.6
"MATTHEWSTAFFORD","QB","fox","Matthew Stafford","DET",17,17,585,347,4351,27,17,43,80,0,NA,NA,NA,NA,1,1,314.4
"TONYROMO","QB","fox","Tony Romo","DAL",18,18,593,372,4404,27,15,44,17,0,NA,NA,NA,NA,1,1,310.4
"ALEXSMITH","QB","fox","Alex Smith","KC",19,19,486,304,3683,24,13,77,322,2,NA,NA,NA,NA,0,1,309.3
"DEREKCARR","QB","fox","Derek Carr","OAK",20,20,674,392,4628,26,22,26,63,0,NA,NA,NA,NA,1,1,302.5
"JAMEISWINSTON","QB","fox","Jameis Winston","TB",21,21,614,349,4412,25,21,32,119,1,NA,NA,NA,NA,1,1,302.3
"BLAKEBORTLES","QB","fox","Blake Bortles","JAC",22,22,591,344,4132,23,21,44,240,2,NA,NA,NA,NA,1,1,297.5
"MARCUSMARIOTA","QB","fox","Marcus Mariota","TEN",23,23,512,295,3471,19,17,75,480,4,NA,NA,NA,NA,0,1,285.7
"JOEFLACCO","QB","fox","Joe Flacco","BAL",24,24,541,345,3913,25,14,40,47,0,NA,NA,NA,NA,0,0,284.3
"NICKFOLES","QB","fox","Nick Foles","STL",25,25,493,309,3612,22,14,73,233,1,NA,NA,NA,NA,0,1,276.7
"TEDDYBRIDGEWATER","QB","fox","Teddy Bridgewater","MIN",26,26,520,319,3682,22,17,57,239,1,NA,NA,NA,NA,0,1,274
"MATTCASSEL","QB","fox","Matt Cassel","BUF",27,27,536,321,3821,24,17,44,87,0,NA,NA,NA,NA,0,1,272.6
"LEVEONBELL","RB","fox","Le'Veon Bell","PIT",1,28,NA,NA,NA,NA,NA,253,1071,11,77,741,5,NA,1,4,268.2
"ANDYDALTON","QB","fox","Andy Dalton","CIN",28,29,480,291,3667,23,16,59,129,1,NA,NA,NA,NA,0,1,267.4
"JOSHMCCOWN","QB","fox","Josh McCown","CLE",29,30,543,310,3798,21,16,26,78,0,NA,NA,NA,NA,0,0,254.4
"BRIANHOYER","QB","fox","Brian Hoyer","HOU",30,31,529,306,3692,20,14,38,56,0,NA,NA,NA,NA,0,1,246.6
"JAMAALCHARLES","RB","fox","Jamaal Charles","KC",2,32,NA,NA,NA,NA,NA,266,1230,12,43,386,2,NA,1,4,241.3
"TOMBRADY","QB","fox","Tom Brady","NE",31,33,442,280,3354,21,10,31,15,0,NA,NA,NA,NA,0,0,240.4
"DEMARCOMURRAY","RB","fox","DeMarco Murray","PHI",3,34,NA,NA,NA,NA,NA,274,1206,13,48,343,2,NA,0,4,239.7
"EDDIELACY","RB","fox","Eddie Lacy","GB",4,35,NA,NA,NA,NA,NA,293,1260,12,39,289,2,NA,0,5,231.3
"MATTFORTE","RB","fox","Matt Forte","CHI",5,36,NA,NA,NA,NA,NA,256,1034,11,63,516,3,NA,1,4,229.9
"LESEANMCCOY","RB","fox","LeSean McCoy","BUF",6,37,NA,NA,NA,NA,NA,305,1304,11,36,253,1,NA,0,5,224.4
"ADRIANPETERSON","RB","fox","Adrian Peterson","MIN",7,38,NA,NA,NA,NA,NA,297,1305,11,42,273,1,NA,1,4,223.4
"MARSHAWNLYNCH","RB","fox","Marshawn Lynch","SEA",8,39,NA,NA,NA,NA,NA,312,1318,11,24,206,1,NA,0,5,220.9
"CJANDERSON","RB","fox","C.J. Anderson","DEN",9,40,NA,NA,NA,NA,NA,240,993,11,41,362,2,NA,0,4,207.2
"DEMARYIUSTHOMAS","WR","fox","Demaryius Thomas","DEN",1,41,NA,NA,NA,NA,NA,0,0,0,95,1507,9,NA,0,1,204.3
"ANTONIOBROWN","WR","fox","Antonio Brown","PIT",2,42,NA,NA,NA,NA,NA,0,0,0,104,1537,9,NA,0,1,203.8
"JUSTINFORSETT","RB","fox","Justin Forsett","BAL",10,43,NA,NA,NA,NA,NA,271,1184,11,35,206,1,NA,1,4,202.7
"ANDREELLINGTON","RB","fox","Andre Ellington","ARI",11,44,NA,NA,NA,NA,NA,233,928,9,53,478,3,NA,1,4,202.4
"CARLOSHYDE","RB","fox","Carlos Hyde","SF",12,45,NA,NA,NA,NA,NA,285,1147,10,33,239,1,NA,0,5,197.6
"JEREMYHILL","RB","fox","Jeremy Hill","CIN",13,46,NA,NA,NA,NA,NA,250,1126,11,21,158,1,NA,0,4,191.9
"FRANKGORE","RB","fox","Frank Gore","IND",14,47,NA,NA,NA,NA,NA,217,899,11,35,302,2,NA,0,4,191.1
"LAMARMILLER","RB","fox","Lamar Miller","MIA",15,48,NA,NA,NA,NA,NA,259,1052,10,35,232,1,NA,0,4,190.3
"ALFREDMORRIS","RB","fox","Alfred Morris","WAS",16,49,NA,NA,NA,NA,NA,276,1152,10,18,139,1,NA,0,4,188.7
"DEZBRYANT","WR","fox","Dez Bryant","DAL",3,50,NA,NA,NA,NA,NA,0,0,0,92,1413,8,NA,0,1,186.1
"MELVINGORDON","RB","fox","Melvin Gordon","SD",17,51,NA,NA,NA,NA,NA,242,1018,10,42,254,1,NA,0,4,185.6
"RANDALLCOBB","WR","fox","Randall Cobb","GB",4,52,NA,NA,NA,NA,NA,0,0,0,94,1354,9,NA,0,1,185.5
"CALVINJOHNSON","WR","fox","Calvin Johnson","DET",5,53,NA,NA,NA,NA,NA,0,0,0,90,1381,8,NA,0,1,183.9
"TYHILTON","WR","fox","T.Y. Hilton","IND",6,54,NA,NA,NA,NA,NA,0,0,0,76,1325,9,NA,0,1,183.8
"JULIOJONES","WR","fox","Julio Jones","ATL",7,55,NA,NA,NA,NA,NA,0,0,0,98,1341,8,NA,0,1,182.4
"JONATHANSTEWART","RB","fox","Jonathan Stewart","CAR",18,56,NA,NA,NA,NA,NA,242,1014,8,33,265,2,NA,1,4,179.9
"LATAVIUSMURRAY","RB","fox","Latavius Murray","OAK",19,57,NA,NA,NA,NA,NA,218,940,9,43,256,1,NA,0,4,173.6
"DESEANJACKSON","WR","fox","DeSean Jackson","WAS",8,58,NA,NA,NA,NA,NA,0,0,0,79,1317,7,NA,0,1,170.4
"ODELLBECKHAM","WR","fox","Odell Beckham Jr.","NYG",9,59,NA,NA,NA,NA,NA,0,0,0,86,1228,7,NA,0,1,165.1
"ARIANFOSTER","RB","fox","Arian Foster","HOU",20,60,NA,NA,NA,NA,NA,220,967,8,27,206,1,NA,0,3,164
"AJGREEN","WR","fox","A.J. Green","CIN",10,61,NA,NA,NA,NA,NA,0,0,0,70,1206,7,NA,0,1,162
"ALSHONJEFFERY","WR","fox","Alshon Jeffery","CHI",11,62,NA,NA,NA,NA,NA,0,0,0,86,1199,7,NA,0,1,161.4
"GIOVANIBERNARD","RB","fox","Giovani Bernard","CIN",21,63,NA,NA,NA,NA,NA,179,727,8,37,330,2,NA,0,3,161.1
"DEVONTAFREEMAN","RB","fox","Devonta Freeman","ATL",22,64,NA,NA,NA,NA,NA,193,780,8,42,291,2,NA,0,4,160.6
"MIKEEVANS","WR","fox","Mike Evans","TB",12,65,NA,NA,NA,NA,NA,0,0,0,86,1230,6,NA,0,1,160.5
"VINCENTJACKSON","WR","fox","Vincent Jackson","TB",13,66,NA,NA,NA,NA,NA,0,0,0,82,1235,6,NA,0,1,159.3
"JEREMYMACLIN","WR","fox","Jeremy Maclin","KC",14,67,NA,NA,NA,NA,NA,0,0,0,70,1163,7,NA,0,1,157.9
"TJYELDON","RB","fox","T.J. Yeldon","JAC",23,68,NA,NA,NA,NA,NA,225,901,8,31,195,1,NA,0,4,155.5
"MARKINGRAM","RB","fox","Mark Ingram","NO",24,69,NA,NA,NA,NA,NA,193,810,8,35,217,1,NA,0,4,150.7
"JOIQUEBELL","RB","fox","Joique Bell","DET",25,70,NA,NA,NA,NA,NA,192,746,7,31,308,2,NA,0,4,150.3
"EMMANUELSANDERS","WR","fox","Emmanuel Sanders","DEN",15,71,NA,NA,NA,NA,NA,0,0,0,87,1071,7,NA,0,1,148.1
"VICTORCRUZ","WR","fox","Victor Cruz","NYG",16,72,NA,NA,NA,NA,NA,0,0,0,70,1098,6,NA,0,1,146.5
"STEVESMITH","WR","fox","Steve Smith Sr.","BAL",17,73,NA,NA,NA,NA,NA,0,0,0,77,1101,6,NA,0,1,145.1
"DOUGMARTIN","RB","fox","Doug Martin","TB",26,74,NA,NA,NA,NA,NA,208,772,6,30,276,2,NA,0,4,144.1
"CJSPILLER","RB","fox","C.J. Spiller","NO",27,75,NA,NA,NA,NA,NA,140,555,6,47,393,3,NA,0,3,143
"RASHADJENNINGS","RB","fox","Rashad Jennings","NYG",28,76,NA,NA,NA,NA,NA,178,688,6,38,307,2,NA,0,4,140.6
"GOLDENTATE","WR","fox","Golden Tate","DET",18,77,NA,NA,NA,NA,NA,0,0,0,86,1050,6,NA,0,1,140.3
"MARQUESCOLSTON","WR","fox","Marques Colston","NO",19,78,NA,NA,NA,NA,NA,0,0,0,68,1057,6,NA,0,1,139.8
"JIMMYGRAHAM","TE","fox","Jimmy Graham","SEA",1,79,NA,NA,NA,NA,NA,0,0,0,82,1031,6,NA,0,1,139.4
"ROBGRONKOWSKI","TE","fox","Rob Gronkowski","NE",2,80,NA,NA,NA,NA,NA,0,0,0,88,1040,6,NA,0,1,138.9
"LARRYFITZGERALD","WR","fox","Larry Fitzgerald","ARI",20,81,NA,NA,NA,NA,NA,0,0,0,67,1058,6,NA,0,1,138.8
"KENNYSTILLS","WR","fox","Kenny Stills","MIA",21,82,NA,NA,NA,NA,NA,0,0,0,63,1038,6,NA,0,1,136.1
"BRANDONMARSHALL","WR","fox","Brandon Marshall","NYJ",22,83,NA,NA,NA,NA,NA,0,0,0,76,1078,5,NA,0,1,135.8
"JULIANEDELMAN","WR","fox","Julian Edelman","NE",23,84,NA,NA,NA,NA,NA,0,0,0,86,1042,5,NA,0,1,135.6
"JOSEPHRANDLE","RB","fox","Joseph Randle","DAL",29,85,NA,NA,NA,NA,NA,190,748,6,38,225,1,NA,0,4,135.5
"RODDYWHITE","WR","fox","Roddy White","ATL",24,86,NA,NA,NA,NA,NA,0,0,0,69,1001,6,NA,0,1,134.8
"JORDANMATTHEWS","WR","fox","Jordan Matthews","PHI",25,87,NA,NA,NA,NA,NA,0,0,0,73,986,6,NA,0,1,133.3
"ANQUANBOLDIN","WR","fox","Anquan Boldin","SF",26,88,NA,NA,NA,NA,NA,0,0,0,69,1013,5,NA,0,1,132.7
"MICHAELFLOYD","WR","fox","Michael Floyd","ARI",27,89,NA,NA,NA,NA,NA,0,0,0,66,983,6,NA,0,1,131.2
"GENOSMITH","QB","fox","Geno Smith","NYJ",32,90,279,159,1886,10,10,32,151,1,NA,NA,NA,NA,0,1,131.1
"LEGARRETTEBLOUNT","RB","fox","LeGarrette Blount","NE",30,91,NA,NA,NA,NA,NA,203,857,8,4,30,0,NA,0,3,130.7
"DAVANTEADAMS","WR","fox","Davante Adams","GB",28,92,NA,NA,NA,NA,NA,0,0,0,71,927,7,NA,0,1,130.4
"BRANDINCOOKS","WR","fox","Brandin Cooks","NO",29,93,NA,NA,NA,NA,NA,0,0,0,83,958,6,NA,0,1,129.6
"BRANDONLAFELL","WR","fox","Brandon LaFell","NE",30,94,NA,NA,NA,NA,NA,0,0,0,75,955,6,NA,0,1,128.4
"BRESHADPERRIMAN","WR","fox","Breshad Perriman","BAL",30,94,NA,NA,NA,NA,NA,0,0,0,77,950,6,NA,0,1,128.4
"CHRISIVORY","RB","fox","Chris Ivory","NYJ",31,96,NA,NA,NA,NA,NA,196,796,5,24,180,1,NA,0,4,128
"AMARICOOPER","WR","fox","Amari Cooper","OAK",32,97,NA,NA,NA,NA,NA,0,0,0,76,999,5,NA,0,1,127.9
"SAMMYWATKINS","WR","fox","Sammy Watkins","BUF",33,98,NA,NA,NA,NA,NA,0,0,0,71,942,6,NA,0,1,127.5
"PERCYHARVIN","WR","fox","Percy Harvin","BUF",34,99,NA,NA,NA,NA,NA,13,72,1,60,868,5,NA,0,1,124.1
"DEANDREHOPKINS","WR","fox","DeAndre Hopkins","HOU",35,100,NA,NA,NA,NA,NA,0,0,0,70,941,5,NA,0,1,123.4
"SHANEVEREEN","RB","fox","Shane Vereen","NYG",32,101,NA,NA,NA,NA,NA,125,475,5,39,361,2,NA,0,3,123.3
"DWAYNEBOWE","WR","fox","Dwayne Bowe","CLE",36,102,NA,NA,NA,NA,NA,0,0,0,68,971,5,NA,0,1,122.6
"TODDGURLEY","RB","fox","Todd Gurley","STL",33,103,NA,NA,NA,NA,NA,166,686,6,30,203,1,NA,0,3,122.5
"ANDREJOHNSON","WR","fox","Andre Johnson","IND",37,104,NA,NA,NA,NA,NA,0,0,0,72,897,6,NA,0,1,122.4
"TORREYSMITH","WR","fox","Torrey Smith","SF",38,105,NA,NA,NA,NA,NA,0,0,0,63,906,5,NA,0,1,122
"JARVISLANDRY","WR","fox","Jarvis Landry","MIA",39,106,NA,NA,NA,NA,NA,0,0,0,84,919,5,NA,0,1,121.8
"TREMASON","RB","fox","Tre Mason","STL",34,107,NA,NA,NA,NA,NA,172,722,7,19,112,1,NA,0,3,121.5
"MARQISELEE","WR","fox","Marqise Lee","JAC",40,107,NA,NA,NA,NA,NA,0,0,0,62,940,5,NA,0,1,121.5
"JOHNBROWN","WR","fox","John Brown","ARI",41,109,NA,NA,NA,NA,NA,0,0,0,72,874,6,NA,0,1,119.6
"KEENANALLEN","WR","fox","Keenan Allen","SD",42,110,NA,NA,NA,NA,NA,0,0,0,79,902,5,NA,0,1,119.5
"EDDIEROYAL","WR","fox","Eddie Royal","CHI",43,111,NA,NA,NA,NA,NA,0,0,0,56,890,5,NA,0,1,119.4
"MARTELLUSBENNETT","TE","fox","Martellus Bennett","CHI",3,112,NA,NA,NA,NA,NA,0,0,0,75,888,5,NA,0,1,118.3
"BISHOPSANKEY","RB","fox","Bishop Sankey","TEN",35,113,NA,NA,NA,NA,NA,208,786,5,18,118,1,NA,0,4,118.1
"ALLENROBINSON","WR","fox","Allen Robinson","JAC",44,113,NA,NA,NA,NA,NA,0,0,0,74,907,5,NA,0,1,118.1
"MALCOMFLOYD","WR","fox","Malcom Floyd","SD",45,115,NA,NA,NA,NA,NA,0,0,0,54,904,5,NA,0,1,117.2
"MARTAVISBRYANT","WR","fox","Martavis Bryant","PIT",46,116,NA,NA,NA,NA,NA,0,0,0,60,854,5,NA,0,1,116
"BRIANQUICK","WR","fox","Brian Quick","STL",46,116,NA,NA,NA,NA,NA,0,0,0,65,866,5,NA,0,1,116
"KENNYBRITT","WR","fox","Kenny Britt","STL",48,118,NA,NA,NA,NA,NA,0,0,0,56,885,5,NA,0,1,115.5
"PIERREGARCON","WR","fox","Pierre Garcon","WAS",49,119,NA,NA,NA,NA,NA,0,0,0,72,878,5,NA,0,1,115.2
"MIKEWALLACE","WR","fox","Mike Wallace","MIN",50,120,NA,NA,NA,NA,NA,0,0,0,58,894,4,NA,0,1,114.7
"TERRANCEWILLIAMS","WR","fox","Terrance Williams","DAL",51,121,NA,NA,NA,NA,NA,0,0,0,59,846,5,NA,0,1,113.9
"AMEERABDULLAH","RB","fox","Ameer Abdullah","DET",36,122,NA,NA,NA,NA,NA,143,595,7,18,124,1,NA,0,3,113.8
"ALFREDBLUE","RB","fox","Alfred Blue","HOU",37,123,NA,NA,NA,NA,NA,179,665,6,23,134,1,NA,0,3,112.8
"ERICDECKER","WR","fox","Eric Decker","NYJ",52,124,NA,NA,NA,NA,NA,0,0,0,72,876,4,NA,0,1,112.4
"NELSONAGHOLOR","WR","fox","Nelson Agholor","PHI",53,125,NA,NA,NA,NA,NA,0,0,0,62,815,5,NA,0,1,112.3
"TRAVISKELCE","TE","fox","Travis Kelce","KC",4,126,NA,NA,NA,NA,NA,0,0,0,69,816,5,NA,0,1,111.5
"REGGIEBUSH","RB","fox","Reggie Bush","SF",38,127,NA,NA,NA,NA,NA,132,510,5,28,254,2,NA,0,3,111.2
"NICKTOON","WR","fox","Nick Toon","NO",54,128,NA,NA,NA,NA,NA,0,0,0,57,794,5,NA,0,1,111
"KENDALLWRIGHT","WR","fox","Kendall Wright","TEN",55,129,NA,NA,NA,NA,NA,0,0,0,74,855,4,NA,0,1,109.4
"MICHAELCRABTREE","WR","fox","Michael Crabtree","OAK",56,130,NA,NA,NA,NA,NA,0,0,0,54,857,4,NA,0,1,108.5
"RYANFITZPATRICK","QB","fox","Ryan Fitzpatrick","NYJ",33,131,223,129,1532,8,6,22,90,0,NA,NA,NA,NA,0,0,107.4
"DOUGBALDWIN","WR","fox","Doug Baldwin","SEA",57,132,NA,NA,NA,NA,NA,0,0,0,51,808,5,NA,0,1,106.9
"JERRICHOCOTCHERY","WR","fox","Jerricho Cotchery","CAR",58,133,NA,NA,NA,NA,NA,0,0,0,50,793,5,NA,0,1,106
"CECILSHORTS","WR","fox","Cecil Shorts III","HOU",59,134,NA,NA,NA,NA,NA,0,0,0,65,813,4,NA,0,1,104
"STEVEJOHNSON","WR","fox","Stevie Johnson","SD",60,135,NA,NA,NA,NA,NA,0,0,0,62,760,5,NA,0,1,103.9
"ISAIAHCROWELL","RB","fox","Isaiah Crowell","CLE",39,136,NA,NA,NA,NA,NA,184,718,5,10,60,0,NA,0,4,102.9
"ANDREROBERTS","WR","fox","Andre Roberts","WAS",61,137,NA,NA,NA,NA,NA,0,0,0,66,761,5,NA,0,1,102.8
"TAYLORGABRIEL","WR","fox","Taylor Gabriel","CLE",62,138,NA,NA,NA,NA,NA,0,0,0,54,768,4,NA,0,1,101.1
"CHARLESJOHNSON","WR","fox","Charles Johnson","MIN",63,139,NA,NA,NA,NA,NA,0,0,0,61,775,4,NA,0,1,101
"GREGOLSEN","TE","fox","Greg Olsen","CAR",5,140,NA,NA,NA,NA,NA,0,0,0,65,748,4,NA,0,1,100
"ROBERTWOODS","WR","fox","Robert Woods","BUF",64,141,NA,NA,NA,NA,NA,0,0,0,59,711,5,NA,0,1,99.2
"DONTEMONCRIEF","WR","fox","Donte Moncrief","IND",65,142,NA,NA,NA,NA,NA,0,0,0,60,698,5,NA,0,1,98.5
"ZACHERTZ","TE","fox","Zach Ertz","PHI",6,143,NA,NA,NA,NA,NA,0,0,0,58,705,5,NA,0,1,97.5
"JAMESSTARKS","RB","fox","James Starks","GB",40,144,NA,NA,NA,NA,NA,112,464,5,20,137,1,NA,0,2,96.2
"JORDANCAMERON","TE","fox","Jordan Cameron","MIA",7,145,NA,NA,NA,NA,NA,0,0,0,62,719,4,NA,0,1,95.8
"DWAYNEALLEN","TE","fox","Dwayne Allen","IND",8,146,NA,NA,NA,NA,NA,0,0,0,52,637,5,NA,0,0,95.2
"JASONWITTEN","TE","fox","Jason Witten","DAL",9,147,NA,NA,NA,NA,NA,0,0,0,65,704,4,NA,0,1,93.6
"DEVANTEPARKER","WR","fox","DeVante Parker","MIA",66,148,NA,NA,NA,NA,NA,0,0,0,56,668,5,NA,0,1,93.1
"NATEWASHINGTON","WR","fox","Nate Washington","HOU",67,149,NA,NA,NA,NA,NA,0,0,0,41,708,4,NA,0,1,92.7
"JORDANREED","TE","fox","Jordan Reed","WAS",10,150,NA,NA,NA,NA,NA,0,0,0,58,703,4,NA,0,1,92.6
"ALLENHURNS","WR","fox","Allen Hurns","JAC",68,151,NA,NA,NA,NA,NA,0,0,0,51,692,4,NA,0,1,91.9
"ANDREHOLMES","WR","fox","Andre Holmes","OAK",69,152,NA,NA,NA,NA,NA,0,0,0,51,696,4,NA,0,1,91.7
"MARKUSWHEATON","WR","fox","Markus Wheaton","PIT",69,152,NA,NA,NA,NA,NA,0,0,0,55,668,4,NA,0,1,91.7
"DARRENMCFADDEN","RB","fox","Darren McFadden","DAL",41,154,NA,NA,NA,NA,NA,128,446,5,27,176,1,NA,0,3,91.6
"STEVANRIDLEY","RB","fox","Stevan Ridley","NYJ",42,155,NA,NA,NA,NA,NA,171,632,5,5,31,0,NA,0,3,90
"DELANIEWALKER","TE","fox","Delanie Walker","TEN",11,156,NA,NA,NA,NA,NA,0,0,0,55,678,4,NA,0,1,88.7
"ANDREWHAWKINS","WR","fox","Andrew Hawkins","CLE",71,157,NA,NA,NA,NA,NA,0,0,0,49,639,4,NA,0,1,88.6
"JULIUSTHOMAS","TE","fox","Julius Thomas","JAC",12,158,NA,NA,NA,NA,NA,0,0,0,59,684,4,NA,0,1,88.1
"DAVIDCOBB","RB","fox","David Cobb","TEN",43,159,NA,NA,NA,NA,NA,150,563,4,14,83,0,NA,0,3,88
"TERRANCEWEST","RB","fox","Terrance West","CLE",44,160,NA,NA,NA,NA,NA,158,559,4,12,81,0,NA,0,3,85.8
"COLEBEASLEY","WR","fox","Cole Beasley","DAL",72,161,NA,NA,NA,NA,NA,0,0,0,53,618,4,NA,0,1,85.5
"TEVINCOLEMAN","RB","fox","Tevin Coleman","ATL",45,162,NA,NA,NA,NA,NA,106,426,6,11,76,1,NA,0,2,83.9
"JUSTINHARDY","WR","fox","Justin Hardy","ATL",73,163,NA,NA,NA,NA,NA,0,0,0,50,593,4,NA,0,1,83.6
"RUEBENRANDLE","WR","fox","Rueben Randle","NYG",73,163,NA,NA,NA,NA,NA,0,0,0,52,599,4,NA,0,1,83.6
"HARRYDOUGLAS","WR","fox","Harry Douglas","TEN",75,165,NA,NA,NA,NA,NA,0,0,0,39,643,3,NA,0,1,83.4
"COREYBROWN","WR","fox","Corey Brown","CAR",75,165,NA,NA,NA,NA,NA,0,0,0,49,633,4,NA,0,1,83.4
"BRIANHARTLINE","WR","fox","Brian Hartline","CLE",77,167,NA,NA,NA,NA,NA,0,0,0,55,654,3,NA,0,1,83.2
"ROYHELU","RB","fox","Roy Helu Jr.","OAK",46,168,NA,NA,NA,NA,NA,46,189,2,41,397,3,NA,0,1,82.7
"COBYFLEENER","TE","fox","Coby Fleener","IND",13,169,NA,NA,NA,NA,NA,0,0,0,45,592,4,NA,0,1,81.9
"LARRYDONNELL","TE","fox","Larry Donnell","NYG",14,170,NA,NA,NA,NA,NA,0,0,0,57,609,4,NA,0,1,81.8
"MOHAMEDSANU","WR","fox","Mohamed Sanu","CIN",78,171,NA,NA,NA,NA,NA,0,0,0,44,616,4,NA,0,1,81.6
